"Date (UTC)","Timestamp (UTC)","Michelle Obama","Ron DeSantis","Kamala Harris","Donald Trump","Joe Biden","Nikki Haley","Vivek Ramaswamy","Gavin Newsom","Robert F. Kennedy Jr.","Chris Christie","Hillary Clinton","Bernie Sanders","AOC","Elizabeth Warren","Kanye West","Other Democrat Politician","Other Republican Politician"
"09-13-2024 01:00","1726189202","0.0045","0.0005","0.7445","0.24","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 02:00","1726192802","0.0045","0.0005","0.7465","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 03:00","1726196402","0.0045","0.0005","0.7475","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-13-2024 04:00","1726200001","0.0045","0.0005","0.7475","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-13-2024 05:00","1726203602","0.0045","0.0005","0.747","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 06:00","1726207201","0.0045","0.0005","0.747","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 07:00","1726210801","0.0045","0.0005","0.749","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-13-2024 08:00","1726214402","0.0045","0.0005","0.749","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 09:00","1726218002","0.005","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.005","0.0025"
"09-13-2024 10:00","1726221602","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.005","0.0025"
"09-13-2024 11:00","1726225202","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 12:00","1726228802","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 13:00","1726232402","0.0045","0.0005","0.752","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 14:00","1726236002","0.0045","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 15:00","1726239602","0.0045","0.0005","0.751","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 16:00","1726243201","0.0045","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.005","0.0025"
"09-13-2024 17:00","1726246802","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.002","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 18:00","1726250402","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.002","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 19:00","1726254002","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 20:00","1726257602","0.0045","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 21:00","1726261202","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-13-2024 22:00","1726264853","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-13-2024 23:00","1726268402","0.0045","0.0005","0.752","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-14-2024 00:00","1726272002","0.0045","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-14-2024 01:00","1726275602","0.0045","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-14-2024 02:00","1726279202","0.0045","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-14-2024 03:00","1726282801","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-14-2024 04:00","1726286402","0.0045","0.0005","0.752","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-14-2024 05:00","1726290002","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 06:00","1726293602","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 07:00","1726297202","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-14-2024 08:00","1726300802","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 09:00","1726304402","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 10:00","1726308002","0.0045","0.0005","0.752","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 11:00","1726311602","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 12:00","1726315202","0.0045","0.0005","0.754","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 13:00","1726318802","0.0045","0.0005","0.754","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 14:00","1726322402","0.0045","0.0005","0.756","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 15:00","1726326002","0.0045","0.0005","0.7555","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 16:00","1726329602","0.0045","0.0005","0.755","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 17:00","1726333202","0.0045","0.0005","0.755","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 18:00","1726336802","0.0045","0.0005","0.7555","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 19:00","1726340402","0.0045","0.0005","0.755","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 20:00","1726344002","0.0055","0.0005","0.754","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 21:00","1726347602","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 22:00","1726351201","0.0045","0.0005","0.7545","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-14-2024 23:00","1726354802","0.0045","0.0005","0.7555","0.23","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-15-2024 00:00","1726358402","0.0045","0.0005","0.7565","0.225","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-15-2024 01:00","1726362002","0.0045","0.0005","0.758","0.225","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.0055","0.0025"
"09-15-2024 02:00","1726365602","0.0045","0.0005","0.755","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.005","0.0025"
"09-15-2024 03:00","1726369202","0.0045","0.0005","0.7575","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.005","0.0025"
"09-15-2024 04:00","1726372802","0.0045","0.0005","0.7575","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.005","0.0025"
"09-15-2024 05:00","1726376402","0.0045","0.0005","0.757","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0025","0.0005","0.0005","0.0005","0.0005","0.005","0.0025"
"09-15-2024 06:00","1726380002","0.0045","0.0005","0.7585","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.002","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-15-2024 07:00","1726383602","0.0045","0.0005","0.7595","0.225","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 08:00","1726387202","0.0045","0.0005","0.7625","0.225","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 09:00","1726390802","0.0045","0.0005","0.7595","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 10:00","1726394402","0.0045","0.0005","0.759","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 11:00","1726398002","0.0045","0.0005","0.7595","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 12:00","1726401602","0.0045","0.0005","0.76","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 13:00","1726405202","0.0045","0.0005","0.7595","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 14:00","1726408802","0.0045","0.0005","0.758","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.004","0.0025"
"09-15-2024 15:00","1726412402","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-15-2024 16:00","1726416002","0.0045","0.0005","0.754","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-15-2024 17:00","1726419602","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0045","0.0025"
"09-15-2024 18:00","1726423202","0.0045","0.0005","0.756","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 19:00","1726426802","0.0045","0.0005","0.757","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 20:00","1726430402","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 21:00","1726434002","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 22:00","1726437602","0.0045","0.0005","0.751","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-15-2024 23:00","1726441202","0.0035","0.0005","0.75","0.24","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 00:00","1726444802","0.0035","0.0005","0.7505","0.245","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 01:00","1726448402","0.0035","0.0005","0.7515","0.24","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 02:00","1726452002","0.0035","0.0005","0.752","0.24","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 03:00","1726455602","0.0035","0.0005","0.7515","0.24","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 04:00","1726459202","0.0035","0.0005","0.7495","0.24","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 05:00","1726462802","0.0035","0.0005","0.7555","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 06:00","1726466402","0.0035","0.0005","0.758","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 07:00","1726470002","0.004","0.0005","0.7585","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 08:00","1726473602","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 09:00","1726477202","0.0045","0.0005","0.755","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 10:00","1726480802","0.0045","0.0005","0.754","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 11:00","1726484402","0.0045","0.0005","0.7525","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 12:00","1726488002","0.0045","0.0005","0.748","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 13:00","1726491602","0.0045","0.0005","0.7475","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 14:00","1726495202","0.0045","0.0005","0.7465","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 15:00","1726498802","0.005","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.003"
"09-16-2024 16:00","1726502402","0.0045","0.0005","0.752","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 17:00","1726506002","0.0045","0.0005","0.754","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 18:00","1726509602","0.0045","0.0005","0.747","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 19:00","1726513201","0.0045","0.0005","0.7485","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 20:00","1726516801","0.0045","0.0005","0.747","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 21:00","1726520402","0.0045","0.0005","0.7505","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 22:00","1726524002","0.0045","0.0005","0.7505","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-16-2024 23:00","1726527602","0.0045","0.0005","0.7505","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 00:00","1726531202","0.0045","0.0005","0.7505","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 01:00","1726534801","0.0045","0.0005","0.7495","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 02:00","1726538402","0.0045","0.0005","0.7495","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 03:00","1726542002","0.0045","0.0005","0.75","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 04:00","1726545602","0.0045","0.0005","0.7495","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 05:00","1726549202","0.0045","0.0005","0.7495","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 06:00","1726552802","0.0045","0.0005","0.751","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 07:00","1726556402","0.0045","0.0005","0.7555","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 08:00","1726560002","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 09:00","1726563602","0.0045","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 10:00","1726567202","0.0045","0.0005","0.7515","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 11:00","1726570802","0.0045","0.0005","0.753","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
"09-17-2024 12:00","1726574402","0.0045","0.0005","0.7545","0.235","0.0005","0.0005","0.0005","0.0005","0.0015","0.0005","0.0015","0.0005","0.0005","0.0005","0.0005","0.0035","0.0025"
