"Date (UTC)","Timestamp (UTC)","Price"
"12-03-2024 01:00","1733187603","0.51"
"12-03-2024 02:00","1733191203","0.48"
"12-03-2024 03:00","1733194803","0.565"
"12-03-2024 04:00","1733198403","0.59"
"12-03-2024 05:00","1733202003","0.585"
"12-03-2024 06:00","1733205603","0.525"
"12-03-2024 07:00","1733209203","0.515"
"12-03-2024 08:00","1733212803","0.525"
"12-03-2024 09:00","1733216403","0.545"
"12-03-2024 10:00","1733220003","0.54"
"12-03-2024 11:00","1733223603","0.54"
"12-03-2024 12:00","1733227203","0.565"
"12-03-2024 13:00","1733230803","0.565"
"12-03-2024 14:00","1733234403","0.565"
"12-03-2024 15:00","1733238003","0.545"
"12-03-2024 16:00","1733241604","0.565"
"12-03-2024 17:00","1733245203","0.525"
"12-03-2024 18:00","1733248804","0.455"
"12-03-2024 19:00","1733252403","0.4"
"12-03-2024 20:00","1733256004","0.54"
"12-03-2024 21:00","1733259603","0.565"
"12-03-2024 22:00","1733263203","0.485"
"12-03-2024 23:00","1733266803","0.485"
"12-04-2024 00:00","1733270403","0.525"
"12-04-2024 01:00","1733274003","0.525"
"12-04-2024 02:00","1733277603","0.57"
"12-04-2024 03:00","1733281203","0.505"
"12-04-2024 04:00","1733284803","0.495"
"12-04-2024 05:00","1733288403","0.505"
"12-04-2024 06:00","1733292003","0.465"
"12-04-2024 07:00","1733295603","0.505"
"12-04-2024 08:00","1733299203","0.505"
"12-04-2024 09:00","1733302803","0.495"
"12-04-2024 10:00","1733306403","0.485"
"12-04-2024 11:00","1733310003","0.535"
"12-04-2024 12:00","1733313603","0.535"
"12-04-2024 13:00","1733317203","0.585"
"12-04-2024 14:00","1733320803","0.6"
"12-04-2024 15:00","1733324403","0.525"
"12-04-2024 16:00","1733328003","0.53"
"12-04-2024 17:00","1733331603","0.535"
"12-04-2024 18:00","1733335203","0.545"
"12-04-2024 19:00","1733338803","0.455"
"12-04-2024 20:00","1733342403","0.465"
"12-04-2024 21:00","1733346003","0.46"
"12-04-2024 22:00","1733349603","0.425"
"12-04-2024 23:00","1733353203","0.37"
"12-05-2024 00:00","1733356803","0.355"
"12-05-2024 01:00","1733360403","0.345"
"12-05-2024 02:00","1733364003","0.305"
"12-05-2024 03:00","1733367603","0.315"
"12-05-2024 04:00","1733371203","0.34"
"12-05-2024 05:00","1733374803","0.27"
"12-05-2024 06:00","1733378403","0.32"
"12-05-2024 07:00","1733382003","0.305"
"12-05-2024 08:00","1733385603","0.315"
"12-05-2024 09:00","1733389203","0.325"
"12-05-2024 10:00","1733392803","0.325"
"12-05-2024 11:00","1733396403","0.325"
"12-05-2024 12:00","1733400003","0.385"
"12-05-2024 13:00","1733403603","0.38"
"12-05-2024 14:00","1733407203","0.375"
"12-05-2024 15:00","1733410803","0.375"
"12-05-2024 16:00","1733414403","0.38"
"12-05-2024 17:00","1733418003","0.335"
"12-05-2024 18:00","1733421603","0.375"
"12-05-2024 19:00","1733425203","0.35"
"12-05-2024 20:00","1733428803","0.38"
"12-05-2024 21:00","1733432403","0.36"
"12-05-2024 22:00","1733436003","0.33"
"12-05-2024 23:00","1733439603","0.34"
"12-06-2024 00:00","1733443203","0.33"
"12-06-2024 01:00","1733446803","0.35"
"12-06-2024 02:00","1733450403","0.335"
"12-06-2024 03:00","1733454003","0.345"
"12-06-2024 04:00","1733457603","0.35"
